,carat,cut,color,clarity,depth,table,price,x,y,z
26970,1.01,Premium,F,SI2,62.0,59.0,4072,6.49,6.43,4.01
26971,0.3,Ideal,H,VS1,62.3,55.1,539,4.29,4.32,2.68
26972,0.59,Ideal,E,VVS2,61.1,57.0,2911,5.39,5.41,3.3
26973,0.3,Very Good,G,IF,58.4,62.0,835,4.4,4.43,2.58
26974,0.53,Ideal,H,VS2,62.4,56.0,1412,5.18,5.17,3.23
26975,1.51,Good,I,VS2,62.9,57.0,8720,7.23,7.27,4.56
26976,0.76,Very Good,H,SI1,62.6,58.0,2396,5.76,5.84,3.63
26977,0.32,Ideal,G,IF,61.6,55.0,918,4.42,4.45,2.73
26978,0.36,Ideal,D,VS2,61.3,55.0,928,4.58,4.62,2.82
26979,0.55,Ideal,H,VS2,61.9,54.0,1402,5.25,5.28,3.26
26980,1.57,Ideal,J,SI1,62.4,57.0,8221,7.51,7.4,4.65
26981,0.3,Ideal,G,VS2,62.0,56.0,556,4.28,4.3,2.66
26982,0.63,Ideal,F,VVS2,62.3,56.0,2961,5.48,5.5,3.42
26983,0.42,Ideal,H,SI1,61.7,55.0,885,4.84,4.85,2.99
26984,0.3,Ideal,F,VVS2,61.6,55.0,751,4.3,4.33,2.66
26985,0.95,Ideal,E,VS1,61.5,57.0,5879,6.3,6.28,3.87
26986,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64
26987,0.9,Premium,J,VS1,62.3,56.0,3175,6.23,6.19,3.87
26988,0.36,Premium,H,SI1,59.3,60.0,665,4.65,4.62,2.75
26989,0.73,Ideal,E,VVS2,61.6,55.0,3535,5.8,5.83,3.58
26990,2.06,Ideal,D,SI2,60.3,56.0,18371,8.29,8.25,4.99
26991,0.33,Premium,D,SI1,60.1,59.0,608,4.46,4.49,2.69
26992,1.02,Premium,G,VS2,62.7,58.0,5407,6.44,6.36,4.01
26993,1.23,Ideal,H,VVS2,61.3,55.0,7387,6.9,6.94,4.24
26994,1.33,Very Good,H,SI2,62.5,58.0,6482,7.04,6.97,4.38
26995,1.04,Premium,D,SI2,58.3,58.0,3780,6.67,6.63,3.88
26996,1.24,Premium,F,SI2,62.8,60.0,5583,6.84,6.82,4.29
26997,0.71,Fair,G,SI1,65.0,58.0,2045,5.57,5.53,3.61
26998,0.37,Ideal,F,VVS1,61.3,56.0,997,4.65,4.68,2.86
26999,0.34,Very Good,F,IF,61.1,54.0,999,4.54,4.56,2.78
27000,0.83,Good,G,SI2,63.7,56.0,2614,5.92,5.95,3.78
27001,0.43,Premium,H,SI1,59.0,58.0,919,4.96,4.93,2.92
27002,0.44,Premium,E,SI1,62.3,58.0,778,4.85,4.88,3.03
